id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1446808800695042052,1446808800695042052,2021-10-09 15:04:33 Фінляндія (літо),2021-10-09,15:04:33,300,1120633726478823425,zelenskyyua,Володимир Зеленський,,"Не почув адекватних пояснень щодо затримки конкурсу для обрання нового керівника САП. Члени конкурсної комісії мають виконати свій обов'язок, як належить. Для 🇺🇦 ефективність роботи антикорупційних інституцій є пріоритетом.",uk,[],[],[],352,133,808,[],[],https://twitter.com/ZelenskyyUa/status/1446808800695042052,False,,0,,,,,,,,[],,,,
1445773051652567057,1445773051652567057,2021-10-06 18:28:51 Фінляндія (літо),2021-10-06,18:28:51,300,1120633726478823425,zelenskyyua,Володимир Зеленський,,"Met with #FrankWalterSteinmeier in Kyiv. It is very important that in the days of the 80th anniversary of the Babyn Yar tragedy, the Federal President of Germany visits Ukraine and 🇩🇪 supports 🇺🇦 at the highest level.  https://t.co/HVath86gwM",en,[],[],['https://pbs.twimg.com/media/FBBq4gIVUAsOrl_.jpg'],100,54,313,['frankwaltersteinmeier'],[],https://twitter.com/ZelenskyyUa/status/1445773051652567057,False,,1,https://pbs.twimg.com/media/FBBq4gIVUAsOrl_.jpg,,,,,,,[],,,,
1445772914695962631,1445772914695962631,2021-10-06 18:28:18 Фінляндія (літо),2021-10-06,18:28:18,300,1120633726478823425,zelenskyyua,Володимир Зеленський,,"Зустрівся з #FrankWalterSteinmeier у Києві. Дуже важливо, що в дні 80-х роковин трагедії Бабиного Яру Федеральний президент Німеччини відвідує Україну і 🇩🇪 підтримує 🇺🇦 на найвищому рівні.  https://t.co/dkotqswqzd",uk,[],[],['https://pbs.twimg.com/media/FBBqvsDVcAM6xSj.jpg'],157,85,588,['frankwaltersteinmeier'],[],https://twitter.com/ZelenskyyUa/status/1445772914695962631,False,,1,https://pbs.twimg.com/media/FBBqvsDVcAM6xSj.jpg,,,,,,,[],,,,
1445006796129816579,1445006796129816579,2021-10-04 15:44:01 Фінляндія (літо),2021-10-04,15:44:01,300,1120633726478823425,zelenskyyua,Володимир Зеленський,,Congratulations to Fumio Kishida @kishida230 on his election as the 100th Prime Minister of Japan. I count on close cooperation to further deepen the 🇺🇦🇯🇵 partnership &amp; fill it with new content. I appreciate the continued support of 🇯🇵 for 🇺🇦's sovereignty &amp; territorial integrity,en,"[{'screen_name': 'kishida230', 'name': '岸田文雄', 'id': '1247032696586436609'}]",[],[],83,42,352,[],[],https://twitter.com/ZelenskyyUa/status/1445006796129816579,False,,0,,,,,,,,[],,,,
1445006741419270144,1445006741419270144,2021-10-04 15:43:48 Фінляндія (літо),2021-10-04,15:43:48,300,1120633726478823425,zelenskyyua,Володимир Зеленський,,Щиро вітаю Фуміо Кішіду @kishida230 з обранням 100-м Прем’єр-міністром Японії. Розраховую на тісну взаємодію з метою подальшого поглиблення 🇺🇦-🇯🇵 партнерства та наповнення його новим змістом. Ціную незмінну підтримку з боку 🇯🇵 суверенітету й територіальної цілісності 🇺🇦.,uk,"[{'screen_name': 'kishida230', 'name': '岸田文雄', 'id': '1247032696586436609'}]",[],[],197,74,613,[],[],https://twitter.com/ZelenskyyUa/status/1445006741419270144,False,,0,,,,,,,,[],,,,
1444580465244004356,1444580465244004356,2021-10-03 11:29:56 Фінляндія (літо),2021-10-03,11:29:56,300,1120633726478823425,zelenskyyua,Володимир Зеленський,,"Учитель – це не лише про те, щоб дати знання. Учитель – це про велику сім’ю, де кожен учень стає твоєю дитиною. Найтепліші вітання всім, хто дарує нашим дітям мудрість, досвід і частинку свого серця й душі!  https://t.co/5PHbwcgzjd",uk,[],[],['https://pbs.twimg.com/media/FAwtppgX0AQ_cnM.jpg'],182,103,569,[],[],https://twitter.com/ZelenskyyUa/status/1444580465244004356,False,,1,https://pbs.twimg.com/media/FAwtppgX0AQ_cnM.jpg,,,,,,,[],,,,
1444269929621041155,1444269929621041155,2021-10-02 14:55:59 Фінляндія (літо),2021-10-02,14:55:59,300,1120633726478823425,zelenskyyua,Володимир Зеленський,,"Долучився до роботи фракції #СлугаНароду у Трускавці. Депутати розбилися на тематичні робочі групи й жваво дискутують, обговорюючи план реформ на наступні роки. Приємно бачити таку енергію й чути стільки нових цікавих ідей!  https://t.co/TPReMu27jp",uk,[],[],['https://pbs.twimg.com/media/FAsTzqoX0AUIyBD.jpg'],481,115,803,['слуганароду'],[],https://twitter.com/ZelenskyyUa/status/1444269929621041155,False,,1,https://pbs.twimg.com/media/FAsTzqoX0AUIyBD.jpg,,,,,,,[],,,,
1443116570117558273,1443116570117558273,2021-09-29 10:32:56 Фінляндія (літо),2021-09-29,10:32:56,300,1120633726478823425,zelenskyyua,Володимир Зеленський,,"Два слова, за якими понад 100 тисяч життів. Два слова, за якими мільйони скалічених доль. Два слова, за якими 80 років спільного болю єврейського та українського народів. Бабин Яр… Подібні трагедії не мають повторитись. Ані в Україні, ані в іншому куточку світу. Ніколи знову.  https://t.co/qH9Lr7xmII",uk,[],[],['https://pbs.twimg.com/media/FAb62HiWYAINPgd.jpg'],221,163,982,[],[],https://twitter.com/ZelenskyyUa/status/1443116570117558273,False,,1,https://pbs.twimg.com/media/FAb62HiWYAINPgd.jpg,,,,,,,[],,,,
1441897864179769349,1441897864179769349,2021-09-26 01:50:14 Фінляндія (літо),2021-09-26,01:50:14,300,1120633726478823425,zelenskyyua,Володимир Зеленський,,"Україна повертає своє! Чемпіонські титули WBA, IBF, IBO, а також WBO – знову, як це і має бути, належать українцю! Важка, але тому ще цінніша #перемога. Саня, дякую! Браво, Чемпіоне! Міць! Сила! #Усик! 🇺🇦🇺🇦🇺🇦 💪💪💪  https://t.co/GNIRBjmnGs",uk,[],[],['https://pbs.twimg.com/media/FAKmNUKWUAAqw5H.jpg'],344,276,2337,"['перемога', 'усик']",[],https://twitter.com/ZelenskyyUa/status/1441897864179769349,False,,1,https://pbs.twimg.com/media/FAKmNUKWUAAqw5H.jpg,,,,,,,[],,,,
1441659218306625543,1441659218306625543,2021-09-25 10:01:57 Фінляндія (літо),2021-09-25,10:01:57,300,1120633726478823425,zelenskyyua,Володимир Зеленський,,Рік тому внаслідок падіння літака біля #Чугуєва Україна втратила 26 гідних синів. У них попереду було ціле життя й не одна бойова звитяга. Неможливо вгамувати біль від цієї втрати. Щирі співчуття рідним і близьким загиблих воїнів. Україна завжди пам'ятатиме своїх героїв.  https://t.co/pg2rerKlJU,uk,[],[],['https://pbs.twimg.com/media/FAHNXdGVkAI01Hn.jpg'],89,158,634,['чугуєва'],[],https://twitter.com/ZelenskyyUa/status/1441659218306625543,False,,1,https://pbs.twimg.com/media/FAHNXdGVkAI01Hn.jpg,,,,,,,[],,,,
