time,sensor_id,val,factor
2020-01-13T05:30:00.000Z,10050,34.04347706,PM25
2020-01-13T05:30:00.000Z,9969,0.769323658,PM10
2020-01-13T05:30:00.000Z,9969,0.754830904,PM25
2020-01-13T06:00:00.000Z,10001,31.52536201,PM10
2020-01-13T06:00:00.000Z,10001,29.43840567,PM25
2020-01-13T06:00:00.000Z,10049,31.23309199,PM10
2020-01-13T06:00:00.000Z,10049,29.04347928,PM25
2020-01-13T06:00:00.000Z,10050,38.2705307,PM10
2020-01-13T06:00:00.000Z,10050,33.11835925,PM25
2020-01-13T06:00:00.000Z,9969,1.086956516,PM10
2020-01-13T06:00:00.000Z,9969,1.076086953,PM25
2020-01-13T06:30:00.000Z,10001,32.07246399,PM10
2020-01-13T06:30:00.000Z,10001,29.7620786,PM25
2020-01-13T06:30:00.000Z,10049,31.24396102,PM10
2020-01-13T06:30:00.000Z,10049,29.02777894,PM25
2020-01-13T06:30:00.000Z,10050,35.87439664,PM10
2020-01-13T06:30:00.000Z,10050,30.9661843,PM25
2020-01-13T06:30:00.000Z,9969,1.076086948,PM10
2020-01-13T06:30:00.000Z,9969,1.060386469,PM25
2020-01-13T07:00:00.000Z,10001,33.49275208,PM10
2020-01-13T07:00:00.000Z,10001,30.83623161,PM25
2020-01-13T07:00:00.000Z,10049,30.76690801,PM10
2020-01-13T07:00:00.000Z,10049,28.91304429,PM25
2020-01-13T07:00:00.000Z,10050,37.99154472,PM10
2020-01-13T07:00:00.000Z,10050,32.67028968,PM25
2020-01-13T07:00:00.000Z,9969,1.015700499,PM10
2020-01-13T07:00:00.000Z,9969,0.989130457,PM25
2020-01-13T07:30:00.000Z,10001,37.58574804,PM10
2020-01-13T07:30:00.000Z,10001,33.24396133,PM25
2020-01-13T07:30:00.000Z,10049,30.99275303,PM10
2020-01-13T07:30:00.000Z,10049,28.87560431,PM25
2020-01-13T07:30:00.000Z,10050,37.76328468,PM10
2020-01-13T07:30:00.000Z,10050,32.53985596,PM25
2020-01-13T07:30:00.000Z,9969,1.329710176,PM10
2020-01-13T07:30:00.000Z,9969,1.299516966,PM25
2020-01-13T08:00:00.000Z,10001,37.89855194,PM10
2020-01-13T08:00:00.000Z,10001,33.18478203,PM25
2020-01-13T08:00:00.000Z,10049,31.22946866,PM10
2020-01-13T08:00:00.000Z,10049,29.30676365,PM25
2020-01-13T08:00:00.000Z,10050,37.77415403,PM10
2020-01-13T08:00:00.000Z,10050,32.42391332,PM25
2020-01-13T08:00:00.000Z,9969,1.869565298,PM10
2020-01-13T08:00:00.000Z,9969,1.760869582,PM25
2020-01-13T08:30:00.000Z,10001,40.54710197,PM10
2020-01-13T08:30:00.000Z,10001,34.75,PM25
2020-01-13T08:30:00.000Z,10049,30.8900973,PM10
2020-01-13T08:30:00.000Z,10049,29.11111101,PM25
2020-01-13T08:30:00.000Z,10050,39.03019333,PM10
2020-01-13T08:30:00.000Z,10050,33.22101657,PM25
2020-01-13T08:30:00.000Z,9969,1.70652173,PM10
2020-01-13T08:30:00.000Z,9969,1.61835744,PM25
2020-01-13T09:00:00.000Z,10001,39.392512,PM10
2020-01-13T09:00:00.000Z,10001,34.23067474,PM25
2020-01-13T09:00:00.000Z,10049,33.62077236,PM10
2020-01-13T09:00:00.000Z,10049,30.98913097,PM25
2020-01-13T09:00:00.000Z,10050,41.40096601,PM10
2020-01-13T09:00:00.000Z,10050,35.00483004,PM25
2020-01-13T09:00:00.000Z,9969,1.498792221,PM10
2020-01-13T09:00:00.000Z,9969,1.428743968,PM25
2020-01-13T09:30:00.000Z,10001,37.60869344,PM10
2020-01-13T09:30:00.000Z,10001,33.21859868,PM25
2020-01-13T09:30:00.000Z,10049,34.70410665,PM10
2020-01-13T09:30:00.000Z,10049,31.67391237,PM25
2020-01-13T09:30:00.000Z,10050,38.99275335,PM10
2020-01-13T09:30:00.000Z,10050,33.65579637,PM25
