Категорія_Ід,Категорія,Пояснення
1,Невдоволення,"Ми висловлюємо невдоволення, зауваження, застереження, вимогу; ми висловлюємо гнів, обурення, незгоду, стурбованість."
2,Співчуття,"Ми співчуваємо, сумуємо."
3,Вдячність,"Ми дякуємо за отримання чогось; ми дякуємо когось за виконання, досягнення; ми звертаємось з проханням до когось."
4,Сентенція,"Просто сентенція, типу бла-бла."
5,Подія,"Ми фіксуємо подію (зустріч, розмову), на яку витрачено власний час."
6,Підтримка,"Ми схвалюємо щось; ми підтримуємо (морально) когось або щось; ми надаємо комусь допомогу, подарунок; ми видаємо наказ, розпорядження, вказівку, приймаємо рішення."
7,Вшанування,"Ми просто радіємо гарній новині, пишаємось, вшановуємо; ми вітаємо з приводу чогось."
